NRO_ORDEN;FECHA_ORDEN;FECHA_RECEP;NRO_RUC;NOMBRE_PROVEEDOR;PRODUCTO;UNIDAD_DE_MEDIDA;CANTIDAD;PRECIO_UNITARIO;PRECIO_TOTAL;CATEGORIA;DEPENDENCIA
180;15/10/2020;21/12/2020;20298841615;LENGUAJE_Y_COMERCIO_S.R.LTDA.;LIBRO_AVENTURA_TOTAL:_UN_PLAN_MALEFICO;UNIDAD;7;31;217;;
204;26/10/2020;15/12/2020;20545326877;DISTRIBUIDORA_DE_LIBROS_HERALDOS_NEGROS_S.A.C;LIBRO_UNA_PASION_CRONICA:_TRATADO_DE_PERIODISMO_LITERARIO;UNIDAD;6;36;216;DESARROLLO_DE_COLECCIONES;DIRECCION_DE_GESTION_DE_LAS_COLECCIONES
204;26/10/2020;15/12/2020;20545326877;DISTRIBUIDORA_DE_LIBROS_HERALDOS_NEGROS_S.A.C;LIBRO_EL_COLOR_DE_LOS_HECHOS:_NARRATIVA_BREVE_(1986-2016);UNIDAD;6;36;216;DESARROLLO_DE_COLECCIONES;DIRECCION_DE_GESTION_DE_LAS_COLECCIONES
204;26/10/2020;;20545326877;DISTRIBUIDORA_DE_LIBROS_HERALDOS_NEGROS_S.A.C;LIBRO_POETAS_EN_LA_ARENA:_ANTOLOGOçA_DE_LA_POESOçA_IQUEOëA;UNIDAD;6;36;216;DESARROLLO_DE_COLECCIONES;DIRECCION_DE_GESTION_DE_LAS_COLECCIONES
211;26/10/2020;7/12/2020;20562919202;PENGUIN_RANDOM_HOUSE_GRUPO_EDITORIAL_S.A.;LIBRO_EL_FUTURO_DE_NUESTRA_MENTE;UNIDAD;6;36;216;DESARROLLO_DE_COLECCIONES;DIRECCION_DE_GESTION_DE_LAS_COLECCIONES
218;26/10/2020;9/11/2020;20100365856;LA_FAMILIA_DISTRIBUIDORA_DE_LIBROS_SA;LIBRO_EL_FRACASO_DE_LA_INDIGNACION_DEL_MALESTAR_AL_CONFLICTO;UNIDAD;;36;216;DESARROLLO_DE_COLECCIONES;DIRECCION_DE_GESTION_DE_LAS_COLECCIONES
225;26/10/2020;4/11/2020;20552853904;ESTACION_LA_CULTURA_SAC;LIBRO_LA_CARPETA_VACOçA;UNIDAD;;36;216;DESARROLLO_DE_COLECCIONES;DIRECCION_DE_GESTION_DE_LAS_COLECCIONES
225;26/10/2020;4/11/2020;20552853904;ESTACION_LA_CULTURA_SAC;LIBRO_LA_CASA_OSCURA;UNIDAD;;36;216;DESARROLLO_DE_COLECCIONES;DIRECCION_DE_GESTION_DE_LAS_COLECCIONES
145;8/06/2021;4/08/2021;20298841615;LENGUAJE_Y_COMERCIO_S.R.LTDA.;LIBRO_SUPERVIVIENTES;UNIDAD;2;108;216;GESTION_DEL_MATERIAL_BIBLIOGRAFICO_DOCUMENTAL_ADQUIRIDO_POR_COMPRA;DIRECCION_DE_GESTION_DE_LAS_COLECCIONES
195;4/08/2021;29/10/2021;20562919202;PENGUIN_RANDOM_HOUSE_GRUPO_EDITORIAL_S.A.;LIBRO_TOö_TU_HIJO_Y_LA_ESCUELA:_EL_CAMINO_PARA_DARLE_LA_MEJOR_EDUCACION;UNIDAD;8;27;216;GESTION_DEL_MATERIAL_BIBLIOGRAFICO_DOCUMENTAL_ADQUIRIDO_POR_COMPRA;DIRECCION_DE_GESTION_DE_LAS_COLECCIONES
195;4/08/2021;29/10/2021;20562919202;PENGUIN_RANDOM_HOUSE_GRUPO_EDITORIAL_S.A.;LIBRO_LAS_MIL_NOCHES_Y_UNA_NOCHE;UNIDAD;;24;216;GESTION_DEL_MATERIAL_BIBLIOGRAFICO_DOCUMENTAL_ADQUIRIDO_POR_COMPRA;DIRECCION_DE_GESTION_DE_LAS_COLECCIONES
195;4/08/2021;29/10/2021;20562919202;PENGUIN_RANDOM_HOUSE_GRUPO_EDITORIAL_S.A.;LIBRO_LOS_INOCENTES;UNIDAD;;24;216;GESTION_DEL_MATERIAL_BIBLIOGRAFICO_DOCUMENTAL_ADQUIRIDO_POR_COMPRA;DIRECCION_DE_GESTION_DE_LAS_COLECCIONES
183;4/08/2021;29/10/2021;20298841615;LENGUAJE_Y_COMERCIO_S.R.LTDA.;LIBRO_FUNDACION;UNIDAD;;27;216;GESTION_DEL_MATERIAL_BIBLIOGRAFICO_DOCUMENTAL_ADQUIRIDO_POR_COMPRA;DIRECCION_DE_GESTION_DE_LAS_COLECCIONES
193;4/08/2021;29/10/2021;20336866333;PALESTRA_EDITORES_S.A.C.;LIBRO_V_CONVENCION_DE_DERECHO_POöBLICO;UNIDAD;;27;216;GESTION_DEL_MATERIAL_BIBLIOGRAFICO_DOCUMENTAL_ADQUIRIDO_POR_COMPRA;DIRECCION_DE_GESTION_DE_LAS_COLECCIONES
195;4/08/2021;29/10/2021;20562919202;PENGUIN_RANDOM_HOUSE_GRUPO_EDITORIAL_S.A.;LIBRO_PAIS_DE_JAUJA.;UNIDAD;;27;216;GESTION_DEL_MATERIAL_BIBLIOGRAFICO_DOCUMENTAL_ADQUIRIDO_POR_COMPRA;DIRECCION_DE_GESTION_DE_LAS_COLECCIONES
195;4/08/2021;29/10/2021;20562919202;PENGUIN_RANDOM_HOUSE_GRUPO_EDITORIAL_S.A.;LIBRO_EL_HEROE_DISCRETO;UNIDAD;;27;216;GESTION_DEL_MATERIAL_BIBLIOGRAFICO_DOCUMENTAL_ADQUIRIDO_POR_COMPRA;DIRECCION_DE_GESTION_DE_LAS_COLECCIONES
195;4/08/2021;29/10/2021;20562919202;PENGUIN_RANDOM_HOUSE_GRUPO_EDITORIAL_S.A.;LIBRO_1984.;UNIDAD;;27;216;GESTION_DEL_MATERIAL_BIBLIOGRAFICO_DOCUMENTAL_ADQUIRIDO_POR_COMPRA;DIRECCION_DE_GESTION_DE_LAS_COLECCIONES
195;4/08/2021;29/10/2021;20562919202;PENGUIN_RANDOM_HOUSE_GRUPO_EDITORIAL_S.A.;LIBRO_EMOCIONES_TOXICAS:_COMO_SANAR_EL_DAOëO_EMOCIONAL_Y_SER_LIBRES_PARA_TENER_PAZ_INTERIOR;UNIDAD;;27;216;GESTION_DEL_MATERIAL_BIBLIOGRAFICO_DOCUMENTAL_ADQUIRIDO_POR_COMPRA;DIRECCION_DE_GESTION_DE_LAS_COLECCIONES
195;4/08/2021;29/10/2021;20562919202;PENGUIN_RANDOM_HOUSE_GRUPO_EDITORIAL_S.A.;LIBRO_LXS_NIOëXS_DE_ORO_DE_LA_ALQUIMIA_SEXUAL;UNIDAD;;27;216;GESTION_DEL_MATERIAL_BIBLIOGRAFICO_DOCUMENTAL_ADQUIRIDO_POR_COMPRA;DIRECCION_DE_GESTION_DE_LAS_COLECCIONES
195;4/08/2021;29/10/2021;20562919202;PENGUIN_RANDOM_HOUSE_GRUPO_EDITORIAL_S.A.;LIBRO_EL_IMPERIO_DE_LAS_MAREAS;UNIDAD;;27;216;GESTION_DEL_MATERIAL_BIBLIOGRAFICO_DOCUMENTAL_ADQUIRIDO_POR_COMPRA;DIRECCION_DE_GESTION_DE_LAS_COLECCIONES
195;4/08/2021;29/10/2021;20562919202;PENGUIN_RANDOM_HOUSE_GRUPO_EDITORIAL_S.A.;LIBRO_MEDIO_SIGLO_CON_BORGES;UNIDAD;;27;216;GESTION_DEL_MATERIAL_BIBLIOGRAFICO_DOCUMENTAL_ADQUIRIDO_POR_COMPRA;DIRECCION_DE_GESTION_DE_LAS_COLECCIONES
195;4/08/2021;29/10/2021;20562919202;PENGUIN_RANDOM_HOUSE_GRUPO_EDITORIAL_S.A.;LIBRO_TRIPLE_FOCUS:_UN_NUEVO_ACERCAMIENTO_A_LA_EDUCACION;UNIDAD;;27;216;GESTION_DEL_MATERIAL_BIBLIOGRAFICO_DOCUMENTAL_ADQUIRIDO_POR_COMPRA;DIRECCION_DE_GESTION_DE_LAS_COLECCIONES
